symbol,name,last_sale,market_cap,ipo_year,sector,sub_industry,nasdaq_url
FSBK,First South Bancorp Inc,9.94,94380000.0,,Finance,Major Banks,http://www.nasdaq.com/symbol/fsbk
FAAR,First Trust Alternative Absolute Return Strategy ETF,28.7837,2880000.0,,,,http://www.nasdaq.com/symbol/faar
FPA,First Trust Asia Pacific Ex-Japan AlphaDEX Fund,27.488,32990000.000000004,,,,http://www.nasdaq.com/symbol/fpa
BICK,First Trust BICK Index Fund,21.73,7610000.0,,,,http://www.nasdaq.com/symbol/bick
FBZ,First Trust Brazil AlphaDEX Fund,12.92,109820000.0,,,,http://www.nasdaq.com/symbol/fbz
FCAN,First Trust Canada AlphaDEX Fund,22.73,6820000.0,,,,http://www.nasdaq.com/symbol/fcan
FTCS,First Trust Capital Strength ETF,40.27,279880000.0,,,,http://www.nasdaq.com/symbol/ftcs
FCEF,First Trust CEF Income Opportunity ETF,19.15,2009999.9999999998,,,,http://www.nasdaq.com/symbol/fcef
FCA,First Trust China AlphaDEX Fund,19.4422,3890000.0,,,,http://www.nasdaq.com/symbol/fca
FDT,First Trust Developed Markets Ex-US AlphaDEX Fund,46.33,162250000.0,,,,http://www.nasdaq.com/symbol/fdt
FDTS,First Trust Developed Markets ex-US Small Cap AlphaDEX Fund,33.4491,6690000.0,,,,http://www.nasdaq.com/symbol/fdts
FVC,First Trust Dorsey Wright Dynamic Focus 5 ETF,20.57,236560000.0,,,,http://www.nasdaq.com/symbol/fvc
FV,First Trust Dorsey Wright Focus 5 ETF,22.08,2730000000.0,,,,http://www.nasdaq.com/symbol/fv
IFV,First Trust Dorsey Wright International Focus 5 ETF,16.55,407130000.0,,,,http://www.nasdaq.com/symbol/ifv
FEM,First Trust Emerging Markets AlphaDEX Fund,19.5507,141740000.0,,,,http://www.nasdaq.com/symbol/fem
FEMB,First Trust Emerging Markets Local Currency Bond ETF,40.3235,14110000.0,,,,http://www.nasdaq.com/symbol/femb
FEMS,First Trust Emerging Markets Small Cap AlphaDEX Fund,29.39,94050000.0,,,,http://www.nasdaq.com/symbol/fems
FTSM,First Trust Enhanced Short Maturity ETF,59.93,512380000.0,,,,http://www.nasdaq.com/symbol/ftsm
FEP,First Trust Europe AlphaDEX Fund,27.8301,251860000.0,,,,http://www.nasdaq.com/symbol/fep
FEUZ,First Trust Eurozone AlphaDEX ETF,31.0373,6210000.0,,,,http://www.nasdaq.com/symbol/feuz
FGM,First Trust Germany AlphaDEX Fund,34.56,108860000.0,,,,http://www.nasdaq.com/symbol/fgm
FTGC,First Trust Global Tactical Commodity Strategy Fund,20,218070000.0,,,,http://www.nasdaq.com/symbol/ftgc
FTHI,First Trust High Income ETF,20.6899,54290000.0,,,,http://www.nasdaq.com/symbol/fthi
HYLS,First Trust High Yield Long/Short ETF,47.51,1030000000.0,,,,http://www.nasdaq.com/symbol/hyls
FHK,First Trust Hong Kong AlphaDEX Fund,32.76,8189999.999999999,,,,http://www.nasdaq.com/symbol/fhk
FTAG,First Trust Indxx Global Agriculture ETF,21.72,4130000.0,,,,http://www.nasdaq.com/symbol/ftag
FTRI,First Trust Indxx Global Natural Resources Income ETF,10.6319,10630000.0,,,,http://www.nasdaq.com/symbol/ftri
FPXI,First Trust International IPO ETF,25.61,2560000.0,,,,http://www.nasdaq.com/symbol/fpxi
YDIV,First Trust International Multi-Asset Diversified Income Index,15.6917,11770000.0,,,,http://www.nasdaq.com/symbol/ydiv
